CITY_NAME,STATE_CODE,STATE_NAME,FIPS,COUNTY_NAME
Prattville,AL,Alabama,1001,Autauga County
Billingsley,AL,Alabama,1001,Autauga County
Jones,AL,Alabama,1001,Autauga County
Pine Level,AL,Alabama,1001,Autauga County
Booth,AL,Alabama,1001,Autauga County
Marbury,AL,Alabama,1001,Autauga County
Autaugaville,AL,Alabama,1001,Autauga County
Spanish Fort,AL,Alabama,1003,Baldwin County
Magnolia Springs,AL,Alabama,1003,Baldwin County
Silverhill,AL,Alabama,1003,Baldwin County
Fort Morgan,AL,Alabama,1003,Baldwin County
Loxley,AL,Alabama,1003,Baldwin County
Fairhope,AL,Alabama,1003,Baldwin County
Stapleton,AL,Alabama,1003,Baldwin County
Elberta,AL,Alabama,1003,Baldwin County
Summerdale,AL,Alabama,1003,Baldwin County
Gulf Shores,AL,Alabama,1003,Baldwin County
Robertsdale,AL,Alabama,1003,Baldwin County
Bay Minette,AL,Alabama,1003,Baldwin County
Lillian,AL,Alabama,1003,Baldwin County
Seminole,AL,Alabama,1003,Baldwin County
Point Clear,AL,Alabama,1003,Baldwin County
Bon Secour,AL,Alabama,1003,Baldwin County
Orange Beach,AL,Alabama,1003,Baldwin County
Foley,AL,Alabama,1003,Baldwin County
Tensaw,AL,Alabama,1003,Baldwin County
Gasque,AL,Alabama,1003,Baldwin County
Daphne,AL,Alabama,1003,Baldwin County
Perdido,AL,Alabama,1003,Baldwin County
Stockton,AL,Alabama,1003,Baldwin County
Perdido Beach,AL,Alabama,1003,Baldwin County
Batesville,AL,Alabama,1005,Barbour County
Louisville,AL,Alabama,1005,Barbour County
Clayton,AL,Alabama,1005,Barbour County
Baker Hill,AL,Alabama,1005,Barbour County
Comer,AL,Alabama,1005,Barbour County
Mount Andrew,AL,Alabama,1005,Barbour County
Texasville,AL,Alabama,1005,Barbour County
Blue Springs,AL,Alabama,1005,Barbour County
Eufaula,AL,Alabama,1005,Barbour County
Clio,AL,Alabama,1005,Barbour County
Eoline,AL,Alabama,1007,Bibb County
Centreville,AL,Alabama,1007,Bibb County
North Bibb,AL,Alabama,1007,Bibb County
Ashby,AL,Alabama,1007,Bibb County
West Blocton,AL,Alabama,1007,Bibb County
Brent,AL,Alabama,1007,Bibb County
Randolph,AL,Alabama,1007,Bibb County
Lawley,AL,Alabama,1007,Bibb County
Woodstock,AL,Alabama,1007,Bibb County
Marvel,AL,Alabama,1007,Bibb County
Hendrix,AL,Alabama,1009,Blount County
Smoke Rise,AL,Alabama,1009,Blount County
Highland Lake,AL,Alabama,1009,Blount County
Brooksville,AL,Alabama,1009,Blount County
County Line,AL,Alabama,1009,Blount County
Rosa,AL,Alabama,1009,Blount County
Blountsville,AL,Alabama,1009,Blount County
Susan Moore,AL,Alabama,1009,Blount County
Summit,AL,Alabama,1009,Blount County
Bangor,AL,Alabama,1009,Blount County
Locust Fork,AL,Alabama,1009,Blount County
Lehigh,AL,Alabama,1009,Blount County
Oneonta,AL,Alabama,1009,Blount County
Cleveland,AL,Alabama,1009,Blount County
Snead,AL,Alabama,1009,Blount County
Hayden,AL,Alabama,1009,Blount County
Nectar,AL,Alabama,1009,Blount County
Allgood,AL,Alabama,1009,Blount County
Shopton,AL,Alabama,1011,Bullock County
Fitzpatrick,AL,Alabama,1011,Bullock County
Aberfoil,AL,Alabama,1011,Bullock County
Perote,AL,Alabama,1011,Bullock County
Midway,AL,Alabama,1011,Bullock County
Peachburg,AL,Alabama,1011,Bullock County
Mitchell,AL,Alabama,1011,Bullock County
Union Springs,AL,Alabama,1011,Bullock County
Bolling,AL,Alabama,1013,Butler County
Chapman,AL,Alabama,1013,Butler County
Forest Home,AL,Alabama,1013,Butler County
Georgiana,AL,Alabama,1013,Butler County
Greenville,AL,Alabama,1013,Butler County
McKenzie,AL,Alabama,1013,Butler County
Garland,AL,Alabama,1013,Butler County
Ohatchee,AL,Alabama,1015,Calhoun County
Piedmont,AL,Alabama,1015,Calhoun County
Oxford,AL,Alabama,1015,Calhoun County
Nances Creek,AL,Alabama,1015,Calhoun County
Eulaton,AL,Alabama,1015,Calhoun County
White Plains,AL,Alabama,1015,Calhoun County
Choccolocco,AL,Alabama,1015,Calhoun County
Jacksonville,AL,Alabama,1015,Calhoun County
Anniston,AL,Alabama,1015,Calhoun County
Wellington,AL,Alabama,1015,Calhoun County
Saks,AL,Alabama,1015,Calhoun County
Hobson City,AL,Alabama,1015,Calhoun County
Alexandria,AL,Alabama,1015,Calhoun County
DeArmanville,AL,Alabama,1015,Calhoun County
Weaver,AL,Alabama,1015,Calhoun County
Lanett,AL,Alabama,1017,Chambers County
Fredonia,AL,Alabama,1017,Chambers County
Abanda,AL,Alabama,1017,Chambers County
Lafayette,AL,Alabama,1017,Chambers County
Standing Rock,AL,Alabama,1017,Chambers County
Valley,AL,Alabama,1017,Chambers County
Stroud,AL,Alabama,1017,Chambers County
Waverly,AL,Alabama,1017,Chambers County
Huguley,AL,Alabama,1017,Chambers County
Cusseta,AL,Alabama,1017,Chambers County
Five Points,AL,Alabama,1017,Chambers County
Penton,AL,Alabama,1017,Chambers County
Forney,AL,Alabama,1019,Cherokee County
Leesburg,AL,Alabama,1019,Cherokee County
Sand Rock,AL,Alabama,1019,Cherokee County
Broomtown,AL,Alabama,1019,Cherokee County
Centre,AL,Alabama,1019,Cherokee County
Spring Garden,AL,Alabama,1019,Cherokee County
Little River,AL,Alabama,1019,Cherokee County
Gaylesville,AL,Alabama,1019,Cherokee County
Blanche,AL,Alabama,1019,Cherokee County
Pleasant Gap,AL,Alabama,1019,Cherokee County
Cedar Bluff,AL,Alabama,1019,Cherokee County
Verbena,AL,Alabama,1021,Chilton County
Clanton,AL,Alabama,1021,Chilton County
Lomax,AL,Alabama,1021,Chilton County
Cooper,AL,Alabama,1021,Chilton County
Maplesville,AL,Alabama,1021,Chilton County
Mountain Creek,AL,Alabama,1021,Chilton County
Jemison,AL,Alabama,1021,Chilton County
Stanton,AL,Alabama,1021,Chilton County
Pletcher,AL,Alabama,1021,Chilton County
Thorsby,AL,Alabama,1021,Chilton County
Silas,AL,Alabama,1023,Choctaw County
Cullomburg,AL,Alabama,1023,Choctaw County
Needham,AL,Alabama,1023,Choctaw County
Land,AL,Alabama,1023,Choctaw County
Gilbertown,AL,Alabama,1023,Choctaw County
Cromwell,AL,Alabama,1023,Choctaw County
Lisman,AL,Alabama,1023,Choctaw County
Pennington,AL,Alabama,1023,Choctaw County
Toxey,AL,Alabama,1023,Choctaw County
Butler,AL,Alabama,1023,Choctaw County
Melvin,AL,Alabama,1023,Choctaw County
Salitpa,AL,Alabama,1025,Clarke County
Choctaw Bluff,AL,Alabama,1025,Clarke County
Rockville,AL,Alabama,1025,Clarke County
Coffeeville,AL,Alabama,1025,Clarke County
Whatley,AL,Alabama,1025,Clarke County
Jackson,AL,Alabama,1025,Clarke County
Grove Hill,AL,Alabama,1025,Clarke County
Fulton,AL,Alabama,1025,Clarke County
Campbell,AL,Alabama,1025,Clarke County
Carlton,AL,Alabama,1025,Clarke County
Thomasville,AL,Alabama,1025,Clarke County
Delta,AL,Alabama,1027,Clay County
Ashland,AL,Alabama,1027,Clay County
Millerville,AL,Alabama,1027,Clay County
Cragford,AL,Alabama,1027,Clay County
Lineville,AL,Alabama,1027,Clay County
Pyriton,AL,Alabama,1027,Clay County
Hollins,AL,Alabama,1027,Clay County
Ranburne,AL,Alabama,1029,Cleburne County
Hollis Crossroads,AL,Alabama,1029,Cleburne County
Borden Springs,AL,Alabama,1029,Cleburne County
Edwardsville,AL,Alabama,1029,Cleburne County
Fruithurst,AL,Alabama,1029,Cleburne County
Heflin,AL,Alabama,1029,Cleburne County
Enterprise,AL,Alabama,1031,Coffee County
Elba,AL,Alabama,1031,Coffee County
Kinston,AL,Alabama,1031,Coffee County
New Brockton,AL,Alabama,1031,Coffee County
Sheffield,AL,Alabama,1033,Colbert County
Muscle Shoals,AL,Alabama,1033,Colbert County
Tuscumbia,AL,Alabama,1033,Colbert County
Cherokee,AL,Alabama,1033,Colbert County
Leighton,AL,Alabama,1033,Colbert County
Barton,AL,Alabama,1033,Colbert County
Littleville,AL,Alabama,1033,Colbert County
Evergreen,AL,Alabama,1035,Conecuh County
Repton,AL,Alabama,1035,Conecuh County
Burnt Corn,AL,Alabama,1035,Conecuh County
Castleberry,AL,Alabama,1035,Conecuh County
Brooklyn,AL,Alabama,1035,Conecuh County
Range,AL,Alabama,1035,Conecuh County
Goodwater,AL,Alabama,1037,Coosa County
Ray,AL,Alabama,1037,Coosa County
Weogufka,AL,Alabama,1037,Coosa County
Rockford,AL,Alabama,1037,Coosa County
Stewartville,AL,Alabama,1037,Coosa County
Kellyton,AL,Alabama,1037,Coosa County
Hissop,AL,Alabama,1037,Coosa County
Libertyville,AL,Alabama,1039,Covington County
Opp,AL,Alabama,1039,Covington County
Brooks,AL,Alabama,1039,Covington County
Carolina,AL,Alabama,1039,Covington County
Sanford,AL,Alabama,1039,Covington County
Florala,AL,Alabama,1039,Covington County
Onycha,AL,Alabama,1039,Covington County
Heath,AL,Alabama,1039,Covington County
Lockhart,AL,Alabama,1039,Covington County
Horn Hill,AL,Alabama,1039,Covington County
